Entity,Label
幻速S7,CarModel
黄海N1,CarModel
欧蓝德（进口）,CarModel
比亚迪G5,CarModel
传祺GM6,CarModel
奥迪R8,CarModel
Yeti,CarModel
上汽MAXUS G10,CarModel
和悦A30,CarModel
绅宝X25,CarModel
众泰SR7,CarModel
上汽MAXUS V90,CarModel
MINI COUNTRYMAN,CarModel
传祺GM8,CarModel
神骐T20,CarModel
梅甘娜,CarModel
中华H3,CarModel
中华H330,CarModel
发现神行（进口）,CarModel
长安之星S460,CarModel
Tiguan,CarModel
通讯中断,Failure
威旺M60,CarModel
爱迪尔,CarModel
凌轩,CarModel
马自达8,CarModel
博瑞新能源,CarModel
开瑞K50,CarModel
上汽MAXUS V80,CarModel
传祺GS7,CarModel
沃尔沃V90,CarModel
佳乐,CarModel
奇瑞QQ,CarModel
普力马,CarModel
昌河Q35,CarModel
风神AX5,CarModel
领克01新能源,CarModel
沃尔沃S80L,CarModel
兰德酷路泽（进口）,CarModel
斯派卡,CarModel
大捷龙,CarModel
海福星,CarModel
奔驰GL,CarModel
北汽新能源EU5,CarModel
北斗星X5,CarModel
欧力威,CarModel
MODEL 3（进口）,CarModel
普瑞维亚,CarModel
锐欧,CarModel
纳瓦拉,CarModel
福克斯Active,CarModel
金杯T30,CarModel
小康C32,CarModel
乐驰,CarModel
森雅,CarModel
奥迪S3,CarModel
帅铃T8,CarModel
中华V6,CarModel
长安欧尚科赛3,CarModel
旗云,CarModel
绅宝D70,CarModel
风光,CarModel
威旺306,CarModel
WEY VV7 GT,CarModel
宝骏610,CarModel
凯翼C3R,CarModel
菱帅,CarModel
上汽MAXUS G50,CarModel
比亚迪G3,CarModel
海域,CarModel
五菱鸿途,CarModel
瑞麒X1,CarModel
Giulia,CarModel
英致G3,CarModel
众泰T600 Coupe,CarModel
讴歌TLX-L,CarModel
旗胜F1,CarModel
欧拉R1,CarModel
启辰R30,CarModel
森雅S80,CarModel
竞瑞,CarModel
林肯MKC,CarModel
蔚领,CarModel
沃尔沃S60L新能源,CarModel
沃尔沃S60L,CarModel
骏派A50,CarModel
蒙派克E,CarModel
传祺GA3S视界,CarModel
锐界（进口）,CarModel
DS5,CarModel
佳宝,CarModel
景逸X3,CarModel
凯迪拉克ATS（进口）,CarModel
上汽MAXUS D60,CarModel
卡缤（进口）,CarModel
幻速H3,CarModel
T-Cross途铠,CarModel
海马S5青春版,CarModel
金旅大海狮,CarModel
马自达3 Axela昂克赛拉,CarModel
时韵,CarModel
科雷嘉,CarModel
荣威ei6,CarModel
星途-TX,CarModel
北汽新能源EX3,CarModel
力帆820EV,CarModel
起亚KX3,CarModel
吉姆尼（进口）,CarModel
悦纳RV,CarModel
佳宝V52,CarModel
英菲尼迪Q70,CarModel
Stelvio,CarModel
晶锐,CarModel
远景SUV,CarModel
博瑞GE,CarModel
VELITE 6,CarModel
威达,CarModel
骐达,CarModel
宝马M6,CarModel
君马SEEK 5,CarModel
荣威e50,CarModel
陆风X5,CarModel
迈特威,CarModel
DS 7,CarModel
昌河A6,CarModel
上汽大众T-Cross,CarModel
比亚迪S2,CarModel
云逸 C4 AIRCROSS,CarModel
夏利N3,CarModel
比亚迪e1,CarModel
宝骏E200,CarModel
ENCINO 昂希诺,CarModel
萨博9-5,CarModel
时代金刚,CarModel
传祺GA3,CarModel
长安之星2,CarModel
高尔夫（进口）,CarModel
奔腾B90,CarModel
长安CS75 PHEV,CarModel
欧尚CX70,CarModel
博瑞GE新能源,CarModel
海星T22,CarModel
欧尚A800,CarModel
阿斯顿·马丁 DB9,CarModel
宝马M3,CarModel
上汽大通V80,CarModel
上汽大通D90,CarModel
欧诺,CarModel
知豆D2,CarModel
中华尊驰,CarModel
上汽大通G10,CarModel
绅宝X55,CarModel
奔驰G级,CarModel
黄海N2,CarModel
LANNIA 蓝鸟,CarModel
EU系列,CarModel
智尚S35,CarModel
欧尚A600,CarModel
奔驰S级新能源,CarModel
吉利GC7,CarModel
智尚S30,CarModel
传祺GS4新能源,CarModel
秦Pro新能源,CarModel
绅宝智道,CarModel
民意,CarModel
逸动新能源,CarModel
上汽大通G50,CarModel
陆风X8,CarModel
挑战者,CarModel
科迈罗Camaro,CarModel
宝马2系旅行车,CarModel
富康,CarModel
金牛星,CarModel
英菲尼迪QX30,CarModel
欧尚X70A,CarModel
途乐,CarModel
比速T5,CarModel
幻速H2,CarModel
坦途 皮卡,CarModel
宝马5系（进口）,CarModel
黄海N3,CarModel
逸行,CarModel
风光580新能源,CarModel
骏派CX65,CarModel
海尚,CarModel
同悦,CarModel
欧尚COS1°(科赛),CarModel
绅宝智行,CarModel
骏逸,CarModel
力帆820,CarModel
北京（BJ）20,CarModel
凯普斯达,CarModel
利亚纳A6,CarModel
荣威e550,CarModel
威旺007,CarModel
庆铃F系列,CarModel
昌河M50,CarModel
荣威MARVEL X,CarModel
ASX劲炫（进口）,CarModel
科雷傲（进口）,CarModel
知豆,CarModel
威旺205,CarModel
PN货车,CarModel
奥迪A1,CarModel
福瑞达K22,CarModel
萨普,CarModel
新圣达菲,CarModel
起亚KX7,CarModel
猎豹CT7,CarModel
永源A380,CarModel
东南DX3 EV,CarModel
君马MEET 3,CarModel
乐风RV,CarModel
派力奥,CarModel
西玛,CarModel
神骐F30,CarModel
优雅2代,CarModel
英菲尼迪Q50,CarModel
领翔,CarModel
风度MX5,CarModel
EX系列,CarModel
名爵3SW,CarModel
马自达CX-3,CarModel
秀尔,CarModel
上汽大通T60,CarModel
凯翼E3,CarModel
雷克萨斯RC,CarModel
卡缤,CarModel
凯翼X5,CarModel
大7 SUV,CarModel
陆风X2,CarModel
瑞风R3,CarModel
野马F99,CarModel
沃尔沃XC60新能源,CarModel
揽胜运动版新能源,CarModel
smart fortwo,CarModel
风神A30,CarModel
极睿,CarModel
力帆620,CarModel
福美来F5,CarModel
比速T3,CarModel
Espace,CarModel
启辰T70X,CarModel
Veloster飞思,CarModel
威赛帝,CarModel
福美来M5,CarModel
长城C20R,CarModel
自由客,CarModel
锐3,CarModel
风度MX6,CarModel
雷克萨斯LX,CarModel
众泰Z360,CarModel
EC系列,CarModel
众泰Z200HB,CarModel
利亚纳,CarModel
沃尔沃S90（进口）,CarModel
夏朗,CarModel
特拉卡,CarModel
福美来F7,CarModel
讴歌TLX,CarModel
沃尔沃S80,CarModel
俊风,CarModel
小康V27,CarModel
小康K17,CarModel
威旺M30,CarModel
雪铁龙C3,CarModel
纳5,CarModel
Ghibli,CarModel
睿行S50,CarModel
萨瓦纳,CarModel
奥迪TT,CarModel
优优,CarModel
力帆X50,CarModel
柯兰多,CarModel
风景G7,CarModel
奥迪S5,CarModel
丘比特,CarModel
致胜,CarModel
路盛E70,CarModel
威旺307,CarModel
星朗,CarModel
骏派A70,CarModel
嘉年华（进口）,CarModel
知豆D1,CarModel
五十铃mu-X,CarModel
芝麻,CarModel
瑞麒G5,CarModel
克莱斯勒300C,CarModel
巴博斯BRABUS,CarModel
众泰Z560,CarModel
宝马5系GT,CarModel
长城C30新能源,CarModel
开瑞K60,CarModel
汉兰达（进口）,CarModel
五菱征程,CarModel
夏利N7,CarModel
圣达菲经典,CarModel
标致3008 （进口）,CarModel
奥迪Q5（进口）,CarModel
中华骏捷FRV,CarModel
雪铁龙C6（进口）,CarModel
风云,CarModel
Gallardo,CarModel
起亚K3S,CarModel
Fortuner,CarModel
众泰Z100,CarModel
奔驰GLK（进口）,CarModel
启辰R50X,CarModel
英伦C5,CarModel
猎豹Q6,CarModel
小康C31,CarModel
小康C35,CarModel
风神L60,CarModel
得利卡,CarModel
凯翼V3,CarModel
佳宝V80,CarModel
欧辉,CarModel
风景V3,CarModel
艾瑞泽M7,CarModel
铂锐,CarModel
瑞奕,CarModel
比速M3,CarModel
君阁,CarModel
黑金刚,CarModel
大C4毕加索,CarModel
宝马X5 M,CarModel
雷克萨斯GX,CarModel
锐铃,CarModel
海马M8,CarModel
龙威,CarModel
霸道,CarModel
东方之子,CarModel
标致4008（进口）,CarModel
金杯大海狮,CarModel
凯路威,CarModel
金杯750,CarModel
凌傲,CarModel
英致737,CarModel
瑞铃,CarModel
奥迪SQ5,CarModel
派朗,CarModel
双环SCEO,CarModel
林肯MKT,CarModel
宝马Z4,CarModel
中兴GX3,CarModel
法拉利 California T,CarModel
艾瑞泽3,CarModel
绅宝D20,CarModel
菲亚特500,CarModel
景逸SUV,CarModel
陆风X6,CarModel
凯泽西,CarModel
劳恩斯酷派,CarModel
凌特,CarModel
长城M1,CarModel
骐铃T5,CarModel
风尚,CarModel
戈蓝,CarModel
福瑞卡,CarModel
长安之星3,CarModel
豪情SUV,CarModel
奇瑞QQ3,CarModel
凯锐,CarModel
众泰T200,CarModel
海星A9,CarModel
天语·尚悦,CarModel
北汽007,CarModel
自由光（进口）,CarModel
豪情,CarModel
威志,CarModel
长安之星9,CarModel
比亚迪e6,CarModel
睿行,CarModel
中华骏捷FSV,CarModel
世纪星,CarModel
迈腾（进口）,CarModel
乐途,CarModel
瑞麒M1,CarModel
塔利斯曼,CarModel
金鹰,CarModel
瑞风M2,CarModel
思铭,CarModel
中华H220,CarModel
捷恩斯,CarModel
荣威W5,CarModel
宝马M4,CarModel
奔驰C级（进口）,CarModel
雅尊,CarModel
克莱斯勒300C（进口）,CarModel
保护器,DetectionTool
欧朗,CarModel
马自达5,CarModel
吉奥GX6,CarModel
英菲尼迪ESQ,CarModel
力帆X60,CarModel
旗云5,CarModel
马自达2劲翔,CarModel
猎鹰,CarModel
丰田86,CarModel
马自达CX-5（进口）,CarModel
力帆720,CarModel
奇瑞QQ6,CarModel
中兴C3,CarModel
风行CM7,CarModel
比亚迪G3R,CarModel
威乐,CarModel
雷克萨斯LS,CarModel
绅宝D60,CarModel
纬度,CarModel
长城M2,CarModel
风迪思,CarModel
马自达 ATENZA,CarModel
福克斯（进口）,CarModel
奥轩GX5,CarModel
宝马3系（进口）,CarModel
